Accuracy,Sigma,FeatureMask
0.830252,0.071355,0.051823 0.473391 0.745040 0.631522 0.223838 0.260635 0.348697 0.370006 0.558541 0.924772 0.666903 0.555803 0.855300 0.668736 0.347037 0.785263 0.495068 0.757342 0.362480 0.421330 0.164031 0.597308 0.246726 0.503403 0.373926 0.294400 0.488156 0.526140 0.501610 0.508172 0.268241 0.532406 0.844484 0.637563 0.214759 0.665697 0.397245 0.463615 0.532725 0.612984 0.337400 0.158743 0.425769 0.545532 0.531758 0.680059 0.354992 0.483882 0.471067 0.583194 0.620728 0.868360 0.265011 0.405968 0.825258 0.337395 0.685433 0.748313 0.202750 0.683324 0.401682 0.388566 0.519597 0.626707 0.510853 0.417543 0.692899 0.455697 0.364165 0.507637 0.454163 0.421218 0.543231 0.309244 0.438524 0.501409 0.902066 0.605963 0.149469 0.302307 0.411537 0.184683 0.336893 0.685710 0.676847 0.575255 0.877804 0.629262 0.554397 0.507159 0.576461 0.455654 0.397763 0.678037 0.408625 
0.830252,0.071407,0.050984 0.473762 0.744864 0.631794 0.221513 0.260506 0.348598 0.370640 0.558112 0.924862 0.667670 0.555809 0.855211 0.660533 0.348369 0.784018 0.494539 0.757174 0.377816 0.418972 0.164244 0.598043 0.246691 0.505625 0.372838 0.291092 0.489947 0.526138 0.501630 0.512124 0.264488 0.533187 0.852556 0.636484 0.214564 0.665695 0.395546 0.462766 0.531505 0.612795 0.339660 0.159637 0.425866 0.546182 0.532222 0.680329 0.354551 0.483179 0.471103 0.581277 0.617872 0.868356 0.268057 0.406048 0.825300 0.337395 0.685740 0.748790 0.205562 0.689999 0.401939 0.387127 0.519835 0.627131 0.511841 0.416267 0.690411 0.455733 0.364658 0.507235 0.453506 0.421790 0.542758 0.309295 0.438114 0.503140 0.902917 0.605986 0.146328 0.302890 0.411888 0.183432 0.339883 0.684326 0.676812 0.591843 0.877951 0.627013 0.553498 0.511137 0.571608 0.455608 0.399614 0.677817 0.428074 
0.830252,0.071366,0.050826 0.473909 0.744853 0.630989 0.230021 0.260208 0.348553 0.371327 0.558296 0.924876 0.667404 0.555940 0.855362 0.680245 0.348513 0.785190 0.494851 0.760182 0.394876 0.418253 0.164550 0.607847 0.246642 0.505939 0.371675 0.290516 0.491451 0.526297 0.501615 0.512367 0.268118 0.532077 0.846681 0.637394 0.210898 0.665695 0.396760 0.462875 0.532681 0.612779 0.337344 0.160339 0.435656 0.546158 0.532124 0.683269 0.354776 0.478804 0.471069 0.586618 0.617803 0.868363 0.269941 0.406233 0.825282 0.337395 0.685809 0.751085 0.206252 0.692086 0.401814 0.387450 0.520174 0.626434 0.511567 0.418120 0.685565 0.455688 0.364037 0.507114 0.450180 0.422015 0.542517 0.309287 0.438101 0.503022 0.902580 0.605987 0.175065 0.303302 0.411901 0.176594 0.350567 0.686417 0.676795 0.588112 0.877200 0.624419 0.552211 0.511541 0.575701 0.455601 0.399838 0.676974 0.400979 
0.830252,0.071398,0.051055 0.473683 0.745114 0.631067 0.194113 0.260469 0.348546 0.371141 0.558205 0.924852 0.667794 0.555849 0.856622 0.658746 0.348968 0.784550 0.493255 0.759048 0.378423 0.418740 0.164089 0.601046 0.246735 0.504842 0.375882 0.289804 0.488942 0.526227 0.501625 0.508821 0.263577 0.533853 0.852640 0.636507 0.214040 0.665708 0.396954 0.463717 0.531622 0.612876 0.339243 0.160447 0.426225 0.545650 0.532249 0.679023 0.354622 0.481128 0.471087 0.593462 0.619095 0.868312 0.269729 0.405884 0.825295 0.337395 0.685703 0.749947 0.204899 0.690161 0.401541 0.387033 0.520065 0.626363 0.511812 0.416782 0.691908 0.455713 0.364294 0.507228 0.453520 0.421780 0.544908 0.309292 0.438453 0.502152 0.902816 0.605955 0.165694 0.302983 0.412053 0.185325 0.345329 0.687229 0.676795 0.586195 0.877970 0.626596 0.553400 0.510087 0.569930 0.455614 0.399121 0.677887 0.424253 
0.830252,0.071373,0.051685 0.469370 0.744836 0.630889 0.220899 0.260399 0.348544 0.372479 0.558257 0.924863 0.667655 0.556456 0.858801 0.693612 0.349696 0.784057 0.498159 0.760684 0.384605 0.418664 0.161605 0.608599 0.246704 0.505053 0.372076 0.290060 0.490356 0.525741 0.501624 0.507566 0.269105 0.532394 0.846207 0.636894 0.196843 0.665496 0.398055 0.463645 0.532542 0.612656 0.339742 0.160767 0.429680 0.545310 0.530054 0.679881 0.353589 0.480890 0.471104 0.592655 0.618619 0.868365 0.270479 0.405966 0.825265 0.337401 0.685584 0.753369 0.206454 0.701418 0.401377 0.388430 0.517344 0.626208 0.511573 0.417174 0.690213 0.454655 0.364203 0.507227 0.453345 0.422109 0.541928 0.309318 0.438271 0.501567 0.902835 0.605645 0.173919 0.307758 0.411973 0.178383 0.346221 0.687481 0.676957 0.588609 0.877303 0.625356 0.553127 0.511526 0.574368 0.455736 0.401522 0.678632 0.418442 
0.830252,0.071406,0.051301 0.473844 0.745123 0.631436 0.199505 0.260848 0.348590 0.369162 0.557233 0.924769 0.668047 0.555814 0.854329 0.679847 0.346885 0.784098 0.494129 0.757786 0.356129 0.418677 0.164504 0.595196 0.246745 0.503930 0.374214 0.291571 0.488110 0.526042 0.501617 0.504709 0.267300 0.533267 0.850774 0.636537 0.212285 0.665725 0.396145 0.462023 0.532360 0.613271 0.340807 0.159999 0.434140 0.547063 0.532855 0.680541 0.352730 0.484304 0.471087 0.574417 0.621326 0.868331 0.266849 0.406205 0.825286 0.337395 0.685346 0.750645 0.201221 0.682043 0.401854 0.387415 0.519693 0.627315 0.512156 0.415694 0.693628 0.455806 0.364581 0.507549 0.456473 0.421318 0.547930 0.309299 0.438858 0.504168 0.903123 0.605931 0.164620 0.302383 0.411654 0.197243 0.349779 0.684352 0.676847 0.593961 0.877274 0.632376 0.553781 0.506122 0.568600 0.455659 0.395367 0.677617 0.436869 
0.830252,0.071392,0.051236 0.473826 0.744827 0.631676 0.221452 0.260731 0.348590 0.369250 0.557395 0.924789 0.667221 0.555748 0.854521 0.676521 0.347381 0.784070 0.494796 0.759539 0.371104 0.418799 0.164526 0.598288 0.246726 0.505165 0.373674 0.293764 0.490594 0.526029 0.501617 0.510093 0.265385 0.532695 0.857593 0.636466 0.214076 0.665697 0.395778 0.462069 0.532381 0.613189 0.340692 0.159501 0.432499 0.546768 0.532538 0.680789 0.353980 0.484266 0.471099 0.574700 0.618147 0.868331 0.266972 0.406142 0.825288 0.337395 0.685714 0.749495 0.202030 0.691160 0.402122 0.388189 0.519636 0.627831 0.512170 0.415858 0.693392 0.456036 0.364651 0.507300 0.455479 0.421489 0.545079 0.309300 0.438014 0.504211 0.903120 0.605979 0.164091 0.304251 0.411694 0.184701 0.344932 0.684191 0.676833 0.593903 0.877572 0.630436 0.553664 0.510803 0.573499 0.455637 0.396470 0.677732 0.436913 
0.830252,0.071338,0.052399 0.463962 0.744744 0.630452 0.223073 0.260348 0.348406 0.375222 0.558314 0.924877 0.667025 0.556595 0.859875 0.701029 0.349830 0.781004 0.499574 0.761475 0.398112 0.417853 0.161388 0.613985 0.246595 0.506146 0.371272 0.298068 0.491106 0.525125 0.501616 0.504829 0.270483 0.531276 0.834970 0.637615 0.195562 0.665484 0.398098 0.462827 0.533165 0.612652 0.340190 0.160857 0.437389 0.545209 0.529854 0.685849 0.352867 0.480433 0.471125 0.591458 0.617806 0.868369 0.270568 0.406243 0.825251 0.337420 0.685439 0.758397 0.208978 0.702997 0.400648 0.388684 0.513527 0.626016 0.511482 0.417643 0.685686 0.454519 0.363944 0.507045 0.450539 0.422366 0.539877 0.309363 0.438065 0.501510 0.902857 0.605065 0.181437 0.307794 0.411886 0.175996 0.349502 0.687621 0.677018 0.600941 0.876331 0.623847 0.552171 0.514589 0.577783 0.456094 0.402733 0.678911 0.392214 
0.830252,0.071363,0.051709 0.470206 0.745060 0.630892 0.221203 0.260237 0.348594 0.368218 0.557891 0.924819 0.667620 0.556072 0.857609 0.682451 0.348137 0.784547 0.494179 0.759018 0.383718 0.418797 0.163103 0.604691 0.246686 0.504417 0.372235 0.291122 0.488978 0.525892 0.501620 0.507838 0.267732 0.532356 0.850627 0.636773 0.203799 0.665622 0.397953 0.463664 0.532600 0.612764 0.338858 0.159274 0.427945 0.546607 0.532153 0.680549 0.353756 0.480986 0.471081 0.591660 0.619765 0.868337 0.266474 0.405938 0.825266 0.337396 0.685601 0.751723 0.205822 0.701295 0.401655 0.388514 0.517498 0.626303 0.511212 0.417387 0.691244 0.455402 0.364207 0.507483 0.455061 0.421652 0.542141 0.309309 0.438395 0.501594 0.902361 0.605883 0.171484 0.306232 0.411963 0.181920 0.343553 0.687457 0.676877 0.588482 0.877666 0.625387 0.553580 0.511371 0.574565 0.455733 0.401198 0.678412 0.414465 
0.830252,0.071376,0.050759 0.474014 0.744851 0.631050 0.232853 0.260125 0.348424 0.371686 0.558505 0.924872 0.667755 0.555906 0.855932 0.673859 0.350282 0.785643 0.494826 0.760218 0.382225 0.418601 0.164234 0.614353 0.246648 0.505817 0.375523 0.289359 0.490727 0.526279 0.501624 0.511604 0.264476 0.532981 0.839427 0.636707 0.210114 0.665695 0.398724 0.463750 0.531533 0.612665 0.337660 0.160436 0.432361 0.545580 0.531379 0.680919 0.355127 0.479667 0.471072 0.590650 0.617785 0.868371 0.269954 0.406562 0.825268 0.337395 0.685708 0.750615 0.207950 0.689998 0.401461 0.387801 0.520213 0.625885 0.511236 0.416988 0.685775 0.455694 0.364390 0.507122 0.449953 0.422360 0.544265 0.309222 0.438296 0.502183 0.902783 0.606035 0.179972 0.306765 0.412194 0.175150 0.346933 0.687490 0.676781 0.568402 0.877757 0.626011 0.552466 0.512591 0.574065 0.455612 0.401976 0.677334 0.400488 
